序号,类型,预览方式,说明,状态,优先级,负责人,部门,创建日,更新日,列K,列L,列M,列N,列O,列P,列Q,列R
15,CSV,HTML表,示例内容 R15 用于测试横向与纵向滚动，本单元格可稍长一些。,已实现,1,用户4,运营,2026-07-16,2026-07-17,D15C11 扩展列数据,D15C12 扩展列数据,D15C13 扩展列数据,D15C14 扩展列数据,D15C15 扩展列数据,D15C16 扩展列数据,D15C17 扩展列数据,D15C18 扩展列数据
16,PDF,PDF.js,示例内容 R16 用于测试横向与纵向滚动，本单元格可稍长一些。,部分,2,用户5,研发,2026-08-17,2026-08-18,D16C11 扩展列数据,D16C12 扩展列数据,D16C13 扩展列数据,D16C14 扩展列数据,D16C15 扩展列数据,D16C16 扩展列数据,D16C17 扩展列数据,D16C18 扩展列数据
17,图片,灯箱,示例内容 R17 用于测试横向与纵向滚动，本单元格可稍长一些。,规划中,3,用户6,产品,2026-09-18,2026-09-19,D17C11 扩展列数据,D17C12 扩展列数据,D17C13 扩展列数据,D17C14 扩展列数据,D17C15 扩展列数据,D17C16 扩展列数据,D17C17 扩展列数据,D17C18 扩展列数据
18,视频,播放器,示例内容 R18 用于测试横向与纵向滚动，本单元格可稍长一些。,已实现,4,用户7,设计,2026-01-19,2026-01-20,D18C11 扩展列数据,D18C12 扩展列数据,D18C13 扩展列数据,D18C14 扩展列数据,D18C15 扩展列数据,D18C16 扩展列数据,D18C17 扩展列数据,D18C18 扩展列数据
19,音频,播放器,示例内容 R19 用于测试横向与纵向滚动，本单元格可稍长一些。,部分,5,用户8,运营,2026-02-20,2026-02-21,D19C11 扩展列数据,D19C12 扩展列数据,D19C13 扩展列数据,D19C14 扩展列数据,D19C15 扩展列数据,D19C16 扩展列数据,D19C17 扩展列数据,D19C18 扩展列数据
20,Office,转PDF,示例内容 R20 用于测试横向与纵向滚动，本单元格可稍长一些。,规划中,1,用户9,研发,2026-03-21,2026-03-22,D20C11 扩展列数据,D20C12 扩展列数据,D20C13 扩展列数据,D20C14 扩展列数据,D20C15 扩展列数据,D20C16 扩展列数据,D20C17 扩展列数据,D20C18 扩展列数据
21,Markdown,正文渲染,示例内容 R21 用于测试横向与纵向滚动，本单元格可稍长一些。,已实现,2,用户10,产品,2026-04-22,2026-04-23,D21C11 扩展列数据,D21C12 扩展列数据,D21C13 扩展列数据,D21C14 扩展列数据,D21C15 扩展列数据,D21C16 扩展列数据,D21C17 扩展列数据,D21C18 扩展列数据
22,CSV,HTML表,示例内容 R22 用于测试横向与纵向滚动，本单元格可稍长一些。,部分,3,用户11,设计,2026-05-23,2026-05-24,D22C11 扩展列数据,D22C12 扩展列数据,D22C13 扩展列数据,D22C14 扩展列数据,D22C15 扩展列数据,D22C16 扩展列数据,D22C17 扩展列数据,D22C18 扩展列数据
23,PDF,PDF.js,示例内容 R23 用于测试横向与纵向滚动，本单元格可稍长一些。,规划中,4,用户12,运营,2026-06-24,2026-06-25,D23C11 扩展列数据,D23C12 扩展列数据,D23C13 扩展列数据,D23C14 扩展列数据,D23C15 扩展列数据,D23C16 扩展列数据,D23C17 扩展列数据,D23C18 扩展列数据
24,图片,灯箱,示例内容 R24 用于测试横向与纵向滚动，本单元格可稍长一些。,已实现,5,用户1,研发,2026-07-25,2026-07-26,D24C11 扩展列数据,D24C12 扩展列数据,D24C13 扩展列数据,D24C14 扩展列数据,D24C15 扩展列数据,D24C16 扩展列数据,D24C17 扩展列数据,D24C18 扩展列数据
25,视频,播放器,示例内容 R25 用于测试横向与纵向滚动，本单元格可稍长一些。,部分,1,用户2,产品,2026-08-26,2026-08-27,D25C11 扩展列数据,D25C12 扩展列数据,D25C13 扩展列数据,D25C14 扩展列数据,D25C15 扩展列数据,D25C16 扩展列数据,D25C17 扩展列数据,D25C18 扩展列数据
26,音频,播放器,示例内容 R26 用于测试横向与纵向滚动，本单元格可稍长一些。,规划中,2,用户3,设计,2026-09-27,2026-09-28,D26C11 扩展列数据,D26C12 扩展列数据,D26C13 扩展列数据,D26C14 扩展列数据,D26C15 扩展列数据,D26C16 扩展列数据,D26C17 扩展列数据,D26C18 扩展列数据
27,Office,转PDF,示例内容 R27 用于测试横向与纵向滚动，本单元格可稍长一些。,已实现,3,用户4,运营,2026-01-28,2026-01-02,D27C11 扩展列数据,D27C12 扩展列数据,D27C13 扩展列数据,D27C14 扩展列数据,D27C15 扩展列数据,D27C16 扩展列数据,D27C17 扩展列数据,D27C18 扩展列数据
28,Markdown,正文渲染,示例内容 R28 用于测试横向与纵向滚动，本单元格可稍长一些。,部分,4,用户5,研发,2026-02-01,2026-02-03,D28C11 扩展列数据,D28C12 扩展列数据,D28C13 扩展列数据,D28C14 扩展列数据,D28C15 扩展列数据,D28C16 扩展列数据,D28C17 扩展列数据,D28C18 扩展列数据
29,CSV,HTML表,示例内容 R29 用于测试横向与纵向滚动，本单元格可稍长一些。,规划中,5,用户6,产品,2026-03-02,2026-03-04,D29C11 扩展列数据,D29C12 扩展列数据,D29C13 扩展列数据,D29C14 扩展列数据,D29C15 扩展列数据,D29C16 扩展列数据,D29C17 扩展列数据,D29C18 扩展列数据
30,PDF,PDF.js,示例内容 R30 用于测试横向与纵向滚动，本单元格可稍长一些。,已实现,1,用户7,设计,2026-04-03,2026-04-05,D30C11 扩展列数据,D30C12 扩展列数据,D30C13 扩展列数据,D30C14 扩展列数据,D30C15 扩展列数据,D30C16 扩展列数据,D30C17 扩展列数据,D30C18 扩展列数据
31,图片,灯箱,示例内容 R31 用于测试横向与纵向滚动，本单元格可稍长一些。,部分,2,用户8,运营,2026-05-04,2026-05-06,D31C11 扩展列数据,D31C12 扩展列数据,D31C13 扩展列数据,D31C14 扩展列数据,D31C15 扩展列数据,D31C16 扩展列数据,D31C17 扩展列数据,D31C18 扩展列数据
32,视频,播放器,示例内容 R32 用于测试横向与纵向滚动，本单元格可稍长一些。,规划中,3,用户9,研发,2026-06-05,2026-06-07,D32C11 扩展列数据,D32C12 扩展列数据,D32C13 扩展列数据,D32C14 扩展列数据,D32C15 扩展列数据,D32C16 扩展列数据,D32C17 扩展列数据,D32C18 扩展列数据
33,音频,播放器,示例内容 R33 用于测试横向与纵向滚动，本单元格可稍长一些。,已实现,4,用户10,产品,2026-07-06,2026-07-08,D33C11 扩展列数据,D33C12 扩展列数据,D33C13 扩展列数据,D33C14 扩展列数据,D33C15 扩展列数据,D33C16 扩展列数据,D33C17 扩展列数据,D33C18 扩展列数据
34,Office,转PDF,示例内容 R34 用于测试横向与纵向滚动，本单元格可稍长一些。,部分,5,用户11,设计,2026-08-07,2026-08-09,D34C11 扩展列数据,D34C12 扩展列数据,D34C13 扩展列数据,D34C14 扩展列数据,D34C15 扩展列数据,D34C16 扩展列数据,D34C17 扩展列数据,D34C18 扩展列数据
35,Markdown,正文渲染,示例内容 R35 用于测试横向与纵向滚动，本单元格可稍长一些。,规划中,1,用户12,运营,2026-09-08,2026-09-10,D35C11 扩展列数据,D35C12 扩展列数据,D35C13 扩展列数据,D35C14 扩展列数据,D35C15 扩展列数据,D35C16 扩展列数据,D35C17 扩展列数据,D35C18 扩展列数据
36,CSV,HTML表,示例内容 R36 用于测试横向与纵向滚动，本单元格可稍长一些。,已实现,2,用户1,研发,2026-01-09,2026-01-11,D36C11 扩展列数据,D36C12 扩展列数据,D36C13 扩展列数据,D36C14 扩展列数据,D36C15 扩展列数据,D36C16 扩展列数据,D36C17 扩展列数据,D36C18 扩展列数据
37,PDF,PDF.js,示例内容 R37 用于测试横向与纵向滚动，本单元格可稍长一些。,部分,3,用户2,产品,2026-02-10,2026-02-12,D37C11 扩展列数据,D37C12 扩展列数据,D37C13 扩展列数据,D37C14 扩展列数据,D37C15 扩展列数据,D37C16 扩展列数据,D37C17 扩展列数据,D37C18 扩展列数据
38,图片,灯箱,示例内容 R38 用于测试横向与纵向滚动，本单元格可稍长一些。,规划中,4,用户3,设计,2026-03-11,2026-03-13,D38C11 扩展列数据,D38C12 扩展列数据,D38C13 扩展列数据,D38C14 扩展列数据,D38C15 扩展列数据,D38C16 扩展列数据,D38C17 扩展列数据,D38C18 扩展列数据
39,视频,播放器,示例内容 R39 用于测试横向与纵向滚动，本单元格可稍长一些。,已实现,5,用户4,运营,2026-04-12,2026-04-14,D39C11 扩展列数据,D39C12 扩展列数据,D39C13 扩展列数据,D39C14 扩展列数据,D39C15 扩展列数据,D39C16 扩展列数据,D39C17 扩展列数据,D39C18 扩展列数据
40,音频,播放器,示例内容 R40 用于测试横向与纵向滚动，本单元格可稍长一些。,部分,1,用户5,研发,2026-05-13,2026-05-15,D40C11 扩展列数据,D40C12 扩展列数据,D40C13 扩展列数据,D40C14 扩展列数据,D40C15 扩展列数据,D40C16 扩展列数据,D40C17 扩展列数据,D40C18 扩展列数据
41,Office,转PDF,示例内容 R41 用于测试横向与纵向滚动，本单元格可稍长一些。,规划中,2,用户6,产品,2026-06-14,2026-06-16,D41C11 扩展列数据,D41C12 扩展列数据,D41C13 扩展列数据,D41C14 扩展列数据,D41C15 扩展列数据,D41C16 扩展列数据,D41C17 扩展列数据,D41C18 扩展列数据
42,Markdown,正文渲染,示例内容 R42 用于测试横向与纵向滚动，本单元格可稍长一些。,已实现,3,用户7,设计,2026-07-15,2026-07-17,D42C11 扩展列数据,D42C12 扩展列数据,D42C13 扩展列数据,D42C14 扩展列数据,D42C15 扩展列数据,D42C16 扩展列数据,D42C17 扩展列数据,D42C18 扩展列数据
43,CSV,HTML表,示例内容 R43 用于测试横向与纵向滚动，本单元格可稍长一些。,部分,4,用户8,运营,2026-08-16,2026-08-18,D43C11 扩展列数据,D43C12 扩展列数据,D43C13 扩展列数据,D43C14 扩展列数据,D43C15 扩展列数据,D43C16 扩展列数据,D43C17 扩展列数据,D43C18 扩展列数据
44,PDF,PDF.js,示例内容 R44 用于测试横向与纵向滚动，本单元格可稍长一些。,规划中,5,用户9,研发,2026-09-17,2026-09-19,D44C11 扩展列数据,D44C12 扩展列数据,D44C13 扩展列数据,D44C14 扩展列数据,D44C15 扩展列数据,D44C16 扩展列数据,D44C17 扩展列数据,D44C18 扩展列数据
45,图片,灯箱,示例内容 R45 用于测试横向与纵向滚动，本单元格可稍长一些。,已实现,1,用户10,产品,2026-01-18,2026-01-20,D45C11 扩展列数据,D45C12 扩展列数据,D45C13 扩展列数据,D45C14 扩展列数据,D45C15 扩展列数据,D45C16 扩展列数据,D45C17 扩展列数据,D45C18 扩展列数据
46,视频,播放器,示例内容 R46 用于测试横向与纵向滚动，本单元格可稍长一些。,部分,2,用户11,设计,2026-02-19,2026-02-21,D46C11 扩展列数据,D46C12 扩展列数据,D46C13 扩展列数据,D46C14 扩展列数据,D46C15 扩展列数据,D46C16 扩展列数据,D46C17 扩展列数据,D46C18 扩展列数据
47,音频,播放器,示例内容 R47 用于测试横向与纵向滚动，本单元格可稍长一些。,规划中,3,用户12,运营,2026-03-20,2026-03-22,D47C11 扩展列数据,D47C12 扩展列数据,D47C13 扩展列数据,D47C14 扩展列数据,D47C15 扩展列数据,D47C16 扩展列数据,D47C17 扩展列数据,D47C18 扩展列数据
48,Office,转PDF,示例内容 R48 用于测试横向与纵向滚动，本单元格可稍长一些。,已实现,4,用户1,研发,2026-04-21,2026-04-23,D48C11 扩展列数据,D48C12 扩展列数据,D48C13 扩展列数据,D48C14 扩展列数据,D48C15 扩展列数据,D48C16 扩展列数据,D48C17 扩展列数据,D48C18 扩展列数据
49,Markdown,正文渲染,示例内容 R49 用于测试横向与纵向滚动，本单元格可稍长一些。,部分,5,用户2,产品,2026-05-22,2026-05-24,D49C11 扩展列数据,D49C12 扩展列数据,D49C13 扩展列数据,D49C14 扩展列数据,D49C15 扩展列数据,D49C16 扩展列数据,D49C17 扩展列数据,D49C18 扩展列数据
50,CSV,HTML表,示例内容 R50 用于测试横向与纵向滚动，本单元格可稍长一些。,规划中,1,用户3,设计,2026-06-23,2026-06-25,D50C11 扩展列数据,D50C12 扩展列数据,D50C13 扩展列数据,D50C14 扩展列数据,D50C15 扩展列数据,D50C16 扩展列数据,D50C17 扩展列数据,D50C18 扩展列数据
51,PDF,PDF.js,示例内容 R51 用于测试横向与纵向滚动，本单元格可稍长一些。,已实现,2,用户4,运营,2026-07-24,2026-07-26,D51C11 扩展列数据,D51C12 扩展列数据,D51C13 扩展列数据,D51C14 扩展列数据,D51C15 扩展列数据,D51C16 扩展列数据,D51C17 扩展列数据,D51C18 扩展列数据
52,图片,灯箱,示例内容 R52 用于测试横向与纵向滚动，本单元格可稍长一些。,部分,3,用户5,研发,2026-08-25,2026-08-27,D52C11 扩展列数据,D52C12 扩展列数据,D52C13 扩展列数据,D52C14 扩展列数据,D52C15 扩展列数据,D52C16 扩展列数据,D52C17 扩展列数据,D52C18 扩展列数据
53,视频,播放器,示例内容 R53 用于测试横向与纵向滚动，本单元格可稍长一些。,规划中,4,用户6,产品,2026-09-26,2026-09-28,D53C11 扩展列数据,D53C12 扩展列数据,D53C13 扩展列数据,D53C14 扩展列数据,D53C15 扩展列数据,D53C16 扩展列数据,D53C17 扩展列数据,D53C18 扩展列数据
54,音频,播放器,示例内容 R54 用于测试横向与纵向滚动，本单元格可稍长一些。,已实现,5,用户7,设计,2026-01-27,2026-01-02,D54C11 扩展列数据,D54C12 扩展列数据,D54C13 扩展列数据,D54C14 扩展列数据,D54C15 扩展列数据,D54C16 扩展列数据,D54C17 扩展列数据,D54C18 扩展列数据
55,Office,转PDF,示例内容 R55 用于测试横向与纵向滚动，本单元格可稍长一些。,部分,1,用户8,运营,2026-02-28,2026-02-03,D55C11 扩展列数据,D55C12 扩展列数据,D55C13 扩展列数据,D55C14 扩展列数据,D55C15 扩展列数据,D55C16 扩展列数据,D55C17 扩展列数据,D55C18 扩展列数据
56,Markdown,正文渲染,示例内容 R56 用于测试横向与纵向滚动，本单元格可稍长一些。,规划中,2,用户9,研发,2026-03-01,2026-03-04,D56C11 扩展列数据,D56C12 扩展列数据,D56C13 扩展列数据,D56C14 扩展列数据,D56C15 扩展列数据,D56C16 扩展列数据,D56C17 扩展列数据,D56C18 扩展列数据
57,CSV,HTML表,示例内容 R57 用于测试横向与纵向滚动，本单元格可稍长一些。,已实现,3,用户10,产品,2026-04-02,2026-04-05,D57C11 扩展列数据,D57C12 扩展列数据,D57C13 扩展列数据,D57C14 扩展列数据,D57C15 扩展列数据,D57C16 扩展列数据,D57C17 扩展列数据,D57C18 扩展列数据
58,PDF,PDF.js,示例内容 R58 用于测试横向与纵向滚动，本单元格可稍长一些。,部分,4,用户11,设计,2026-05-03,2026-05-06,D58C11 扩展列数据,D58C12 扩展列数据,D58C13 扩展列数据,D58C14 扩展列数据,D58C15 扩展列数据,D58C16 扩展列数据,D58C17 扩展列数据,D58C18 扩展列数据
59,图片,灯箱,示例内容 R59 用于测试横向与纵向滚动，本单元格可稍长一些。,规划中,5,用户12,运营,2026-06-04,2026-06-07,D59C11 扩展列数据,D59C12 扩展列数据,D59C13 扩展列数据,D59C14 扩展列数据,D59C15 扩展列数据,D59C16 扩展列数据,D59C17 扩展列数据,D59C18 扩展列数据
60,视频,播放器,示例内容 R60 用于测试横向与纵向滚动，本单元格可稍长一些。,已实现,1,用户1,研发,2026-07-05,2026-07-08,D60C11 扩展列数据,D60C12 扩展列数据,D60C13 扩展列数据,D60C14 扩展列数据,D60C15 扩展列数据,D60C16 扩展列数据,D60C17 扩展列数据,D60C18 扩展列数据
61,音频,播放器,示例内容 R61 用于测试横向与纵向滚动，本单元格可稍长一些。,部分,2,用户2,产品,2026-08-06,2026-08-09,D61C11 扩展列数据,D61C12 扩展列数据,D61C13 扩展列数据,D61C14 扩展列数据,D61C15 扩展列数据,D61C16 扩展列数据,D61C17 扩展列数据,D61C18 扩展列数据
62,Office,转PDF,示例内容 R62 用于测试横向与纵向滚动，本单元格可稍长一些。,规划中,3,用户3,设计,2026-09-07,2026-09-10,D62C11 扩展列数据,D62C12 扩展列数据,D62C13 扩展列数据,D62C14 扩展列数据,D62C15 扩展列数据,D62C16 扩展列数据,D62C17 扩展列数据,D62C18 扩展列数据
63,Markdown,正文渲染,示例内容 R63 用于测试横向与纵向滚动，本单元格可稍长一些。,已实现,4,用户4,运营,2026-01-08,2026-01-11,D63C11 扩展列数据,D63C12 扩展列数据,D63C13 扩展列数据,D63C14 扩展列数据,D63C15 扩展列数据,D63C16 扩展列数据,D63C17 扩展列数据,D63C18 扩展列数据
64,CSV,HTML表,示例内容 R64 用于测试横向与纵向滚动，本单元格可稍长一些。,部分,5,用户5,研发,2026-02-09,2026-02-12,D64C11 扩展列数据,D64C12 扩展列数据,D64C13 扩展列数据,D64C14 扩展列数据,D64C15 扩展列数据,D64C16 扩展列数据,D64C17 扩展列数据,D64C18 扩展列数据
65,PDF,PDF.js,示例内容 R65 用于测试横向与纵向滚动，本单元格可稍长一些。,规划中,1,用户6,产品,2026-03-10,2026-03-13,D65C11 扩展列数据,D65C12 扩展列数据,D65C13 扩展列数据,D65C14 扩展列数据,D65C15 扩展列数据,D65C16 扩展列数据,D65C17 扩展列数据,D65C18 扩展列数据
66,图片,灯箱,示例内容 R66 用于测试横向与纵向滚动，本单元格可稍长一些。,已实现,2,用户7,设计,2026-04-11,2026-04-14,D66C11 扩展列数据,D66C12 扩展列数据,D66C13 扩展列数据,D66C14 扩展列数据,D66C15 扩展列数据,D66C16 扩展列数据,D66C17 扩展列数据,D66C18 扩展列数据
67,视频,播放器,示例内容 R67 用于测试横向与纵向滚动，本单元格可稍长一些。,部分,3,用户8,运营,2026-05-12,2026-05-15,D67C11 扩展列数据,D67C12 扩展列数据,D67C13 扩展列数据,D67C14 扩展列数据,D67C15 扩展列数据,D67C16 扩展列数据,D67C17 扩展列数据,D67C18 扩展列数据
68,音频,播放器,示例内容 R68 用于测试横向与纵向滚动，本单元格可稍长一些。,规划中,4,用户9,研发,2026-06-13,2026-06-16,D68C11 扩展列数据,D68C12 扩展列数据,D68C13 扩展列数据,D68C14 扩展列数据,D68C15 扩展列数据,D68C16 扩展列数据,D68C17 扩展列数据,D68C18 扩展列数据
69,Office,转PDF,示例内容 R69 用于测试横向与纵向滚动，本单元格可稍长一些。,已实现,5,用户10,产品,2026-07-14,2026-07-17,D69C11 扩展列数据,D69C12 扩展列数据,D69C13 扩展列数据,D69C14 扩展列数据,D69C15 扩展列数据,D69C16 扩展列数据,D69C17 扩展列数据,D69C18 扩展列数据
70,Markdown,正文渲染,示例内容 R70 用于测试横向与纵向滚动，本单元格可稍长一些。,部分,1,用户11,设计,2026-08-15,2026-08-18,D70C11 扩展列数据,D70C12 扩展列数据,D70C13 扩展列数据,D70C14 扩展列数据,D70C15 扩展列数据,D70C16 扩展列数据,D70C17 扩展列数据,D70C18 扩展列数据
71,CSV,HTML表,示例内容 R71 用于测试横向与纵向滚动，本单元格可稍长一些。,规划中,2,用户12,运营,2026-09-16,2026-09-19,D71C11 扩展列数据,D71C12 扩展列数据,D71C13 扩展列数据,D71C14 扩展列数据,D71C15 扩展列数据,D71C16 扩展列数据,D71C17 扩展列数据,D71C18 扩展列数据
72,PDF,PDF.js,示例内容 R72 用于测试横向与纵向滚动，本单元格可稍长一些。,已实现,3,用户1,研发,2026-01-17,2026-01-20,D72C11 扩展列数据,D72C12 扩展列数据,D72C13 扩展列数据,D72C14 扩展列数据,D72C15 扩展列数据,D72C16 扩展列数据,D72C17 扩展列数据,D72C18 扩展列数据
73,图片,灯箱,示例内容 R73 用于测试横向与纵向滚动，本单元格可稍长一些。,部分,4,用户2,产品,2026-02-18,2026-02-21,D73C11 扩展列数据,D73C12 扩展列数据,D73C13 扩展列数据,D73C14 扩展列数据,D73C15 扩展列数据,D73C16 扩展列数据,D73C17 扩展列数据,D73C18 扩展列数据
74,视频,播放器,示例内容 R74 用于测试横向与纵向滚动，本单元格可稍长一些。,规划中,5,用户3,设计,2026-03-19,2026-03-22,D74C11 扩展列数据,D74C12 扩展列数据,D74C13 扩展列数据,D74C14 扩展列数据,D74C15 扩展列数据,D74C16 扩展列数据,D74C17 扩展列数据,D74C18 扩展列数据
75,音频,播放器,示例内容 R75 用于测试横向与纵向滚动，本单元格可稍长一些。,已实现,1,用户4,运营,2026-04-20,2026-04-23,D75C11 扩展列数据,D75C12 扩展列数据,D75C13 扩展列数据,D75C14 扩展列数据,D75C15 扩展列数据,D75C16 扩展列数据,D75C17 扩展列数据,D75C18 扩展列数据
76,Office,转PDF,示例内容 R76 用于测试横向与纵向滚动，本单元格可稍长一些。,部分,2,用户5,研发,2026-05-21,2026-05-24,D76C11 扩展列数据,D76C12 扩展列数据,D76C13 扩展列数据,D76C14 扩展列数据,D76C15 扩展列数据,D76C16 扩展列数据,D76C17 扩展列数据,D76C18 扩展列数据
77,Markdown,正文渲染,示例内容 R77 用于测试横向与纵向滚动，本单元格可稍长一些。,规划中,3,用户6,产品,2026-06-22,2026-06-25,D77C11 扩展列数据,D77C12 扩展列数据,D77C13 扩展列数据,D77C14 扩展列数据,D77C15 扩展列数据,D77C16 扩展列数据,D77C17 扩展列数据,D77C18 扩展列数据
78,CSV,HTML表,示例内容 R78 用于测试横向与纵向滚动，本单元格可稍长一些。,已实现,4,用户7,设计,2026-07-23,2026-07-26,D78C11 扩展列数据,D78C12 扩展列数据,D78C13 扩展列数据,D78C14 扩展列数据,D78C15 扩展列数据,D78C16 扩展列数据,D78C17 扩展列数据,D78C18 扩展列数据
79,PDF,PDF.js,示例内容 R79 用于测试横向与纵向滚动，本单元格可稍长一些。,部分,5,用户8,运营,2026-08-24,2026-08-27,D79C11 扩展列数据,D79C12 扩展列数据,D79C13 扩展列数据,D79C14 扩展列数据,D79C15 扩展列数据,D79C16 扩展列数据,D79C17 扩展列数据,D79C18 扩展列数据
